zillow_region_id,fhfa_cbsa,period,zhvi_usd
395094,43300,2025-08,299721.9990999903
395094,43300,2025-09,297835.8435858854
395094,43300,2025-10,296581.28739336116
395094,43300,2025-11,295937.1355399473
395094,43300,2025-12,295692.59050608566
395094,43300,2026-01,295610.1575155545
395094,43300,2026-02,295788.1874841114
395094,43300,2026-03,295469.7713852503
395094,43300,2026-04,294420.3206925936
395094,43300,2026-05,292347.1053784474
395094,43300,2026-06,289706.8778369998
395096,43340,2005-04,132635.91700914135
395096,43340,2005-05,133215.75401486806
395096,43340,2005-06,133483.1106117574
395096,43340,2005-07,133893.2403375988
395096,43340,2005-08,134312.14649205553
395096,43340,2005-09,134855.39721280243
395096,43340,2005-10,135517.67797331233
395096,43340,2005-11,136403.5342229064
395096,43340,2005-12,137486.3474078965
395096,43340,2006-01,139003.20896554517
395096,43340,2006-02,140606.26703699023
395096,43340,2006-03,142772.9404952172
395096,43340,2006-04,144672.0606616059
395096,43340,2006-05,146477.64808695266
395096,43340,2006-06,147212.6500775499
395096,43340,2006-07,147507.78643170762
395096,43340,2006-08,147316.7736670368
395096,43340,2006-09,147814.65631530475
395096,43340,2006-10,148701.28325643713
395096,43340,2006-11,149803.31760692387
395096,43340,2006-12,150422.5841256521
395096,43340,2007-01,151100.24540088917
395096,43340,2007-02,151827.2681144602
395096,43340,2007-03,152837.8597908269
395096,43340,2007-04,153442.34152679946
395096,43340,2007-05,154035.576541464
395096,43340,2007-06,153714.75175695887
395096,43340,2007-07,152972.26742306948
395096,43340,2007-08,151743.1212835797
395096,43340,2007-09,151250.4957078475
395096,43340,2007-10,151332.70232764768
395096,43340,2007-11,151655.18576442683
395096,43340,2007-12,151731.76933066358
395096,43340,2008-01,151727.5948391369
395096,43340,2008-02,151747.06407602938
395096,43340,2008-03,152410.54185647538
395096,43340,2008-04,153186.5076615884
395096,43340,2008-05,154157.53214817002
395096,43340,2008-06,154154.8862341257
395096,43340,2008-07,153667.38715319708
395096,43340,2008-08,152842.30384089312
395096,43340,2008-09,152639.20130800226
395096,43340,2008-10,152881.40427708428
395096,43340,2008-11,153186.78536396788
395096,43340,2008-12,153046.02383721623
395096,43340,2009-01,153068.40082893797
395096,43340,2009-02,153259.37036919457
395096,43340,2009-03,153495.71559162726
395096,43340,2009-04,153400.41410531272
395096,43340,2009-05,153324.18587111626
395096,43340,2009-06,153238.6306245034
395096,43340,2009-07,153184.85990166813
395096,43340,2009-08,152941.50374057796
395096,43340,2009-09,153086.49375430134
395096,43340,2009-10,153370.87099975455
395096,43340,2009-11,153880.54514307805
395096,43340,2009-12,154056.04944811005
395096,43340,2010-01,154628.76349961816
395096,43340,2010-02,155326.6444124562
395096,43340,2010-03,156145.38022912855
395096,43340,2010-04,156489.20387570196
395096,43340,2010-05,156651.198508783
395096,43340,2010-06,156734.12473943745
395096,43340,2010-07,156841.10371964783
395096,43340,2010-08,156840.9249002827
395096,43340,2010-09,157185.29612535637
395096,43340,2010-10,157567.4949772474
395096,43340,2010-11,157816.4089211493
395096,43340,2010-12,157824.47621149628
395096,43340,2011-01,157667.1372791195
395096,43340,2011-02,157779.3316643823
395096,43340,2011-03,158022.53037453073
395096,43340,2011-04,158236.8831948928
395096,43340,2011-05,158519.48582102614
395096,43340,2011-06,158564.43786354072
395096,43340,2011-07,158620.5256732164
395096,43340,2011-08,158343.54020079257
395096,43340,2011-09,158339.501271795
395096,43340,2011-10,158770.56336652927
395096,43340,2011-11,159195.90358612005
395096,43340,2011-12,159003.5976278441
395096,43340,2012-01,159054.0326381185
395096,43340,2012-02,159910.3268387907
395096,43340,2012-03,161178.9638747203
395096,43340,2012-04,161285.48776011934
395096,43340,2012-05,160389.31046267654
395096,43340,2012-06,159603.30554840236
395096,43340,2012-07,159020.1321127281
395096,43340,2012-08,158424.55209098736
395096,43340,2012-09,157477.55027856093
395096,43340,2012-10,156529.61519070916
395096,43340,2012-11,155667.31437259866
395096,43340,2012-12,154533.34730286148
395096,43340,2013-01,154363.79764544984
395096,43340,2013-02,154351.17161807182
395096,43340,2013-03,155582.4206321384
395096,43340,2013-04,157190.12131302108
395096,43340,2013-05,158513.1692038779
395096,43340,2013-06,159273.13431964003
395096,43340,2013-07,158955.40952804915
395096,43340,2013-08,158866.26283048282
395096,43340,2013-09,158768.11160828406
395096,43340,2013-10,158831.89615998216
395096,43340,2013-11,158370.93997554926
395096,43340,2013-12,156985.2456810337
395096,43340,2014-01,155280.7016133419
395096,43340,2014-02,154271.27319650838
395096,43340,2014-03,154058.33621521504
395096,43340,2014-04,154219.95464390735
395096,43340,2014-05,154147.33892006657
395096,43340,2014-06,154501.56174725332
395096,43340,2014-07,155303.9860138516
395096,43340,2014-08,156315.95833635333
395096,43340,2014-09,156810.72375424186
395096,43340,2014-10,156951.70457142784
395096,43340,2014-11,157420.02908603265
395096,43340,2014-12,157913.0037918679
395096,43340,2015-01,158334.22729023526
395096,43340,2015-02,157916.24374750795
395096,43340,2015-03,157457.64507961195
395096,43340,2015-04,157345.8172861189
395096,43340,2015-05,158054.35240678547
395096,43340,2015-06,158655.84675509526
395096,43340,2015-07,158549.1427667416
395096,43340,2015-08,158189.5136794619
395096,43340,2015-09,157753.24922779342
395096,43340,2015-10,158113.1972690327
395096,43340,2015-11,158740.41341685454
395096,43340,2015-12,159858.134156695
395096,43340,2016-01,160578.4685436549
395096,43340,2016-02,161266.77235532485
395096,43340,2016-03,161403.98337314362
395096,43340,2016-04,161651.93425578368
395096,43340,2016-05,161519.5498834603
395096,43340,2016-06,161705.22099287613
395096,43340,2016-07,161459.81643219676
395096,43340,2016-08,160967.5366874873
395096,43340,2016-09,160255.50761859983
395096,43340,2016-10,160052.7492300453
395096,43340,2016-11,159813.86176078094
395096,43340,2016-12,159862.76633544255
395096,43340,2017-01,159583.37338089125
395096,43340,2017-02,159173.40002178814
395096,43340,2017-03,158831.62689948393
395096,43340,2017-04,158277.563201227
395096,43340,2017-05,157775.628029375
395096,43340,2017-06,156735.56383083176
395096,43340,2017-07,155872.57687156534
395096,43340,2017-08,155367.99619165921
395096,43340,2017-09,155318.31099313285
395096,43340,2017-10,155421.3835788653
395096,43340,2017-11,155122.52753203418
395096,43340,2017-12,155029.79528708415
395096,43340,2018-01,155043.76328910177
395096,43340,2018-02,155351.9324580452
395096,43340,2018-03,155767.05344175742
395096,43340,2018-04,155797.05528924183
395096,43340,2018-05,155830.35241681815
395096,43340,2018-06,155339.68177698573
395096,43340,2018-07,155457.48865249066
395096,43340,2018-08,155921.08937645593
395096,43340,2018-09,156658.30249551506
395096,43340,2018-10,156748.94240356894
395096,43340,2018-11,156679.25033839545
395096,43340,2018-12,156873.4544571056
395096,43340,2019-01,157330.1698053149
395096,43340,2019-02,158348.108360888
395096,43340,2019-03,159466.68958765
395096,43340,2019-04,161138.05263451976
395096,43340,2019-05,162536.70939314875
395096,43340,2019-06,163501.80961219218
395096,43340,2019-07,164487.80560848146
395096,43340,2019-08,165314.01414261575
395096,43340,2019-09,166319.93290563757
395096,43340,2019-10,167048.23691176306
395096,43340,2019-11,168238.8272589728
395096,43340,2019-12,169598.0711252186
395096,43340,2020-01,171072.82918715783
395096,43340,2020-02,171665.5123423118
395096,43340,2020-03,171790.40020251088
395096,43340,2020-04,171924.22868618273
395096,43340,2020-05,172133.86654847823
395096,43340,2020-06,172094.0853234266
395096,43340,2020-07,172174.4229708853
395096,43340,2020-08,173406.08772552924
395096,43340,2020-09,176117.2601507449
395096,43340,2020-10,178061.28443164413
395096,43340,2020-11,178716.87666539897
395096,43340,2020-12,177454.8777796719
395096,43340,2021-01,176381.24455817198
395096,43340,2021-02,175924.80315878429
395096,43340,2021-03,176507.56664938884
395096,43340,2021-04,177259.7030089613
395096,43340,2021-05,177532.36918009483
395096,43340,2021-06,177461.22833164796
395096,43340,2021-07,176005.75042601116
395096,43340,2021-08,173968.8142093382
395096,43340,2021-09,171654.5130570531
395096,43340,2021-10,171119.2382297135
395096,43340,2021-11,171841.02767595637
395096,43340,2021-12,172917.1056593478
395096,43340,2022-01,174646.47356610536
395096,43340,2022-02,176264.36319968756
395096,43340,2022-03,178460.46519498804
395096,43340,2022-04,179938.25223833826
395096,43340,2022-05,181082.07314640586
395096,43340,2022-06,182357.64788445787
395096,43340,2022-07,183213.75913845343
395096,43340,2022-08,183244.04429455832
395096,43340,2022-09,181832.64655680608
395096,43340,2022-10,180218.37314019247
395096,43340,2022-11,178918.02100299823
395096,43340,2022-12,177960.49535700187
395096,43340,2023-01,176887.3329434671
395096,43340,2023-02,175778.53097100058
395096,43340,2023-03,175416.69311000835
395096,43340,2023-04,175346.8762624052
395096,43340,2023-05,175538.6214099954
395096,43340,2023-06,175497.85047487717
395096,43340,2023-07,175760.08637433607
395096,43340,2023-08,176304.34875918235
395096,43340,2023-09,176908.71673431582
395096,43340,2023-10,177663.077644003
395096,43340,2023-11,178450.1331418783
395096,43340,2023-12,178933.41175944175
395096,43340,2024-01,178974.9028588689
395096,43340,2024-02,179415.17662639508
395096,43340,2024-03,180435.7406383014
395096,43340,2024-04,181501.47226053348
395096,43340,2024-05,182124.75389783154
395096,43340,2024-06,182624.61857535332
395096,43340,2024-07,182974.16626095222
395096,43340,2024-08,182833.58469882808
395096,43340,2024-09,182166.89005128955
395096,43340,2024-10,181934.95226664128
395096,43340,2024-11,182514.78781482295
395096,43340,2024-12,183707.4006715105
395096,43340,2025-01,184613.95206418983
395096,43340,2025-02,185289.48264521113
395096,43340,2025-03,185225.7780496823
395096,43340,2025-04,184478.83292269587
395096,43340,2025-05,183366.99849135833
395096,43340,2025-06,182034.06888678772
395096,43340,2025-07,180967.75184681034
395096,43340,2025-08,180142.32999025157
395096,43340,2025-09,179794.14674289036
395096,43340,2025-10,179753.73406126117
395096,43340,2025-11,179791.0867935703
395096,43340,2025-12,180231.67861543468
395096,43340,2026-01,181117.2542877214
395096,43340,2026-02,182459.8402059162
395096,43340,2026-03,183193.9199160157
395096,43340,2026-04,184128.6052787503
395096,43340,2026-05,184785.1224856501
395096,43340,2026-06,185677.7617169657
395098,43420,2008-02,206786.01027383632
395098,43420,2008-03,205694.03022099467
395098,43420,2008-04,205367.850792878
395098,43420,2008-05,204068.51124294195
395098,43420,2008-06,203032.5861710829
395098,43420,2008-07,201617.33158925432
395098,43420,2008-08,200118.45131743795
395098,43420,2008-09,198630.69449575167
395098,43420,2008-10,196697.80173604423
395098,43420,2008-11,194880.66433890595
395098,43420,2008-12,192762.53126915998
395098,43420,2009-01,191006.39699767702
395098,43420,2009-02,189738.4748849216
395098,43420,2009-03,188962.50393000417
395098,43420,2009-04,188164.4295932221
395098,43420,2009-05,187453.68945084643
395098,43420,2009-06,186503.03521617796
395098,43420,2009-07,185281.57849472878
395098,43420,2009-08,183245.87187509504
395098,43420,2009-09,180995.1347774451
395098,43420,2009-10,178658.64409453134
395098,43420,2009-11,176715.24848905377
395098,43420,2009-12,175081.82323300873
395098,43420,2010-01,174067.7648658757
395098,43420,2010-02,173468.70274720024
395098,43420,2010-03,173071.670385804
395098,43420,2010-04,172874.93698194902
395098,43420,2010-05,172524.83284862994
395098,43420,2010-06,172242.05523486531
395098,43420,2010-07,171679.58175704896
395098,43420,2010-08,170952.76677369312
395098,43420,2010-09,170073.3060638647
395098,43420,2010-10,168873.39353924184
395098,43420,2010-11,167629.25500525336
395098,43420,2010-12,166278.50371242894
395098,43420,2011-01,165141.3850562566
395098,43420,2011-02,164222.02357802357
395098,43420,2011-03,163158.70516461204
395098,43420,2011-04,162058.23119017333
395098,43420,2011-05,160795.53941272394
395098,43420,2011-06,159709.91229946038
395098,43420,2011-07,158912.61194491727
395098,43420,2011-08,158273.7746249725
395098,43420,2011-09,158079.65154279745
395098,43420,2011-10,158102.3919256768
395098,43420,2011-11,158531.34743986663
395098,43420,2011-12,159179.51703754644
395098,43420,2012-01,160276.3841723006
395098,43420,2012-02,161727.95641911903
395098,43420,2012-03,163371.40237401906
395098,43420,2012-04,164823.88541234168
395098,43420,2012-05,166124.01737916798
395098,43420,2012-06,167156.729096571
395098,43420,2012-07,167685.3461553204
395098,43420,2012-08,167468.16560041645
395098,43420,2012-09,166985.4592432101
395098,43420,2012-10,166401.15640203448
395098,43420,2012-11,166115.83218251818
395098,43420,2012-12,165781.65877993338
395098,43420,2013-01,165633.6277190299
395098,43420,2013-02,165531.09084309087
395098,43420,2013-03,165993.3438170146
395098,43420,2013-04,166675.78132603443
395098,43420,2013-05,167336.41659386075
395098,43420,2013-06,167566.62658272102
395098,43420,2013-07,167023.8873454629
395098,43420,2013-08,165838.5112847592
395098,43420,2013-09,164261.31473221074
395098,43420,2013-10,162772.27442052515
395098,43420,2013-11,161642.25429364064
395098,43420,2013-12,160854.93194612055
395098,43420,2014-01,159853.3386464836
395098,43420,2014-02,158467.7549608746
395098,43420,2014-03,156634.0523322459
395098,43420,2014-04,155479.2564504612
395098,43420,2014-05,155304.60458449528
395098,43420,2014-06,155834.8002641373
395098,43420,2014-07,156412.61166390518
395098,43420,2014-08,156331.73093381154
395098,43420,2014-09,155638.15719588075
395098,43420,2014-10,154649.22083671382
395098,43420,2014-11,154132.5621180254
395098,43420,2014-12,153863.5706776881
395098,43420,2015-01,153600.24920549884
395098,43420,2015-02,152912.7746070104
395098,43420,2015-03,152280.85333670198
395098,43420,2015-04,151936.21839932443
395098,43420,2015-05,151963.07440219048
395098,43420,2015-06,151854.1008414228
395098,43420,2015-07,151657.28867860176
395098,43420,2015-08,151408.40095077152
395098,43420,2015-09,151467.7596268004
395098,43420,2015-10,151868.96608290906
395098,43420,2015-11,152367.8236319348
395098,43420,2015-12,153087.26244210987
395098,43420,2016-01,153611.71447234668
395098,43420,2016-02,153659.26347472926
