fhfa_cbsa,period,hpi_all_transactions_nsa
10500,2004Q4,143.88
10500,2005Q1,143.98
10500,2005Q2,148.87
10500,2005Q3,149.47
10500,2005Q4,155.86
10500,2006Q1,155.28
10500,2006Q2,158.87
10500,2006Q3,158.15
10500,2006Q4,161.88
10500,2007Q1,164.12
10500,2007Q2,164.58
10500,2007Q3,165.85
10500,2007Q4,166.42
10500,2008Q1,170.43
10500,2008Q2,168.32
10500,2008Q3,164.49
10500,2008Q4,165.72
10500,2009Q1,165.9
10500,2009Q2,164.75
10500,2009Q3,162.21
10500,2009Q4,160.96
10500,2010Q1,161.61
10500,2010Q2,154.35
10500,2010Q3,158.6
10500,2010Q4,158.33
10500,2011Q1,152.81
10500,2011Q2,151.88
10500,2011Q3,148.41
10500,2011Q4,150.03
10500,2012Q1,147.07
10500,2012Q2,145.67
10500,2012Q3,146.71
10500,2012Q4,147.78
10500,2013Q1,146.05
10500,2013Q2,150.15
10500,2013Q3,146.52
10500,2013Q4,144.6
10500,2014Q1,147.49
10500,2014Q2,140.46
10500,2014Q3,142.35
10500,2014Q4,144.24
10500,2015Q1,144.05
10500,2015Q2,144.4
10500,2015Q3,145.37
10500,2015Q4,142.7
10500,2016Q1,144.02
10500,2016Q2,147.2
10500,2016Q3,148.2
10500,2016Q4,146.3
10500,2017Q1,150.65
10500,2017Q2,149.35
10500,2017Q3,149.5
10500,2017Q4,152.15
10500,2018Q1,155.53
10500,2018Q2,150.19
10500,2018Q3,151.49
10500,2018Q4,156.11
10500,2019Q1,157.33
10500,2019Q2,158.9
10500,2019Q3,158.53
10500,2019Q4,161.13
10500,2020Q1,162.01
10500,2020Q2,164.13
10500,2020Q3,165.45
10500,2020Q4,166.88
10500,2021Q1,175.42
10500,2021Q2,178.53
10500,2021Q3,187.74
10500,2021Q4,198.08
10500,2022Q1,203.03
10500,2022Q2,210.56
10500,2022Q3,219.45
10500,2022Q4,217.4
10500,2023Q1,218.47
10500,2023Q2,223.14
10500,2023Q3,226.24
10500,2023Q4,227.07
