zillow_region_id,fhfa_cbsa,period,zori_usd_month
394307,10540,2024-06,1559.8587639718412
394307,10540,2024-07,1569.1426229947854
394307,10540,2024-08,1580.2911475068577
394307,10540,2024-09,1596.16068647103
394307,10540,2024-10,1598.3648269218845
394307,10540,2024-11,1585.89610662701
394307,10540,2024-12,1583.363657981299
394307,10540,2025-01,1582.577375439835
394307,10540,2025-02,1594.1864019786724
394307,10540,2025-03,1599.4938935833977
394307,10540,2025-04,1606.5239767659677
394307,10540,2025-05,1607.9327794634607
394307,10540,2025-06,1613.3499380428339
394307,10540,2025-07,1616.1024725340365
394307,10540,2025-08,1620.6722583300123
394307,10540,2025-09,1619.6908383619348
394307,10540,2025-10,1617.3599322578268
394307,10540,2025-11,1614.5675757878769
394307,10540,2025-12,1618.5059195443268
394307,10540,2026-01,1624.6362757497814
394307,10540,2026-02,1629.766973644194
394307,10540,2026-03,1630.1790115024614
394307,10540,2026-04,1630.6315144429998
394307,10540,2026-05,1636.6554753147689
394307,10540,2026-06,1639.1486568986568
394308,10580,2015-01,1018.9534696737194
394308,10580,2015-02,1026.8809746623879
394308,10580,2015-03,1029.5637386419403
394308,10580,2015-04,1024.1144817450668
394308,10580,2015-05,1023.44280812225
394308,10580,2015-06,1028.739778560379
394308,10580,2015-07,1043.211316465775
394308,10580,2015-08,1047.831980766879
394308,10580,2015-09,1049.8180369678382
394308,10580,2015-10,1034.3465810190341
394308,10580,2015-11,1031.1877658224946
394308,10580,2015-12,1034.5048111903573
394308,10580,2016-01,1046.604499621135
394308,10580,2016-02,1053.8644681637056
394308,10580,2016-03,1058.1219420108737
394308,10580,2016-04,1061.8418674445688
394308,10580,2016-05,1063.5606070421056
394308,10580,2016-06,1065.8008990356943
394308,10580,2016-07,1067.194973673731
394308,10580,2016-08,1073.8971954875935
394308,10580,2016-09,1080.2588580763215
394308,10580,2016-10,1078.6846832763804
394308,10580,2016-11,1065.6849641890315
394308,10580,2016-12,1062.0627565856382
394308,10580,2017-01,1062.3398397111919
394308,10580,2017-02,1077.474967159247
394308,10580,2017-03,1078.4184282998601
394308,10580,2017-04,1088.3066348954296
394308,10580,2017-05,1095.5619798530615
394308,10580,2017-06,1099.307178786709
394308,10580,2017-07,1100.3099586251508
394308,10580,2017-08,1095.7098218283083
394308,10580,2017-09,1095.6815141989007
394308,10580,2017-10,1090.9362622299193
394308,10580,2017-11,1095.7021530435013
394308,10580,2017-12,1097.377086012259
394308,10580,2018-01,1112.9128743320382
394308,10580,2018-02,1122.5725177242475
394308,10580,2018-03,1127.2341438321132
394308,10580,2018-04,1135.8037672620476
394308,10580,2018-05,1132.9820862525166
394308,10580,2018-06,1135.3584459540555
394308,10580,2018-07,1128.5898148158035
394308,10580,2018-08,1131.29412442814
394308,10580,2018-09,1133.4768997019116
394308,10580,2018-10,1133.829454594579
394308,10580,2018-11,1127.8189266226468
394308,10580,2018-12,1127.6227834797635
394308,10580,2019-01,1133.7491642492532
394308,10580,2019-02,1143.5691317579788
394308,10580,2019-03,1149.1658196002165
394308,10580,2019-04,1153.888626795405
394308,10580,2019-05,1158.8508967856212
394308,10580,2019-06,1172.944595688671
394308,10580,2019-07,1173.7034341897054
394308,10580,2019-08,1165.3218348930252
394308,10580,2019-09,1151.6923645291492
394308,10580,2019-10,1149.1143031093247
394308,10580,2019-11,1158.1335247372465
394308,10580,2019-12,1165.0944757871002
394308,10580,2020-01,1169.817240196464
394308,10580,2020-02,1178.301002127924
394308,10580,2020-03,1189.53292935009
394308,10580,2020-04,1196.052804330905
394308,10580,2020-05,1194.9363660869585
394308,10580,2020-06,1193.8582216151597
394308,10580,2020-07,1200.1937625113294
394308,10580,2020-08,1208.9385802506836
394308,10580,2020-09,1210.3687678772862
394308,10580,2020-10,1213.3155129699635
394308,10580,2020-11,1216.7286038091977
394308,10580,2020-12,1226.6909931848995
394308,10580,2021-01,1229.0854269617212
394308,10580,2021-02,1235.4023708947946
394308,10580,2021-03,1242.8021849500071
394308,10580,2021-04,1262.8252837840323
394308,10580,2021-05,1275.1776809297533
394308,10580,2021-06,1290.6763601096177
394308,10580,2021-07,1299.6252109860293
394308,10580,2021-08,1307.0680162674314
394308,10580,2021-09,1313.8720569540562
394308,10580,2021-10,1313.3226816830854
394308,10580,2021-11,1324.3801484999992
394308,10580,2021-12,1331.7313969393722
394308,10580,2022-01,1340.9909419118885
394308,10580,2022-02,1347.0954465582113
394308,10580,2022-03,1360.472682783603
394308,10580,2022-04,1374.6494247969229
394308,10580,2022-05,1393.3606741382946
394308,10580,2022-06,1405.1367934231548
394308,10580,2022-07,1420.8811236713902
394308,10580,2022-08,1428.760101218862
394308,10580,2022-09,1431.4780018032516
394308,10580,2022-10,1432.650384697037
394308,10580,2022-11,1425.045060265786
394308,10580,2022-12,1421.8590942276749
394308,10580,2023-01,1415.7577305696204
394308,10580,2023-02,1425.4711730301913
394308,10580,2023-03,1435.1370582842897
394308,10580,2023-04,1441.1317052622392
394308,10580,2023-05,1456.9930470567306
394308,10580,2023-06,1470.6073317514429
394308,10580,2023-07,1487.4452486194607
394308,10580,2023-08,1485.1086026251985
394308,10580,2023-09,1486.4443989593997
394308,10580,2023-10,1474.727736845148
394308,10580,2023-11,1475.0358597698137
394308,10580,2023-12,1471.4688601232647
394308,10580,2024-01,1488.170706264021
394308,10580,2024-02,1499.5304529159287
394308,10580,2024-03,1513.821771198747
394308,10580,2024-04,1520.6804868103955
394308,10580,2024-05,1532.6183206293715
394308,10580,2024-06,1539.485745357078
394308,10580,2024-07,1552.5401705578145
394308,10580,2024-08,1550.2480912136311
394308,10580,2024-09,1548.4700155510043
394308,10580,2024-10,1542.258853382281
394308,10580,2024-11,1545.3867605919058
394308,10580,2024-12,1549.303871269635
394308,10580,2025-01,1549.437354583654
394308,10580,2025-02,1558.1547196573865
394308,10580,2025-03,1572.6885433916902
394308,10580,2025-04,1589.5402255582283
394308,10580,2025-05,1596.0899286658491
394308,10580,2025-06,1604.813338157193
394308,10580,2025-07,1612.836115341984
394308,10580,2025-08,1620.3836797498032
394308,10580,2025-09,1618.1615496468485
